"","x"
"Arabic",1
"French",2
"German",2
"Russian",3
"Topic 0 - English",2
"Topic 0 - Turkish",2
"Topic 13 - Turkish",3
"Topic 16 - Turkish",4
"Topic 1 - English",2
"Topic 1 - Turkish",5
"Topic 2 - English",2
"Topic 2 - Turkish",5
"Topic 3 - Turkish",5
"Topic 4 - Turkish",5
"Topic 5 - Turkish",5
"Topic 6 - Turkish",5
"Topic 7 - Turkish",4
"Topic 8 - Turkish",5
"Topic 9 - Turkish",3
