"","x"
"Arabic",1
"French",2
"Japanese",2
"Portuguese",2
"Spanish",1
"Topic 0 - English",2
"Topic 12 - English",3
"Topic 15 - English",1
"Topic 16 - English",4
"Topic 17 - English",5
"Topic 19 - English",2
"Topic 1 - English",1
"Topic 2 - English",3
"Topic 3 - English",4
"Topic 4 - English",5
"Topic 5 - English",1
"Topic 6 - English",2
"Topic 7 - English",4
"Topic 8 - English",1
"Topic 9 - English",4
