"","ID","membership_la"
"372","67275","20"
"373","30177","22"
"374","165779","22"
"375","34846","22"
"376","129889","22"
"377","75759","22"
"378","28653","22"
"379","29179","26"
"380","93322","22"
"381","136951","22"
"382","33827","32"
"383","174432","22"
"385","59880","18"
"386","70556","26"
"387","129072","24"
"388","16648","22"
"389","37091","29"
"390","71205","8"
"391","16046","22"
"392","105858","26"
"393","28686","18"
"394","62347","24"
"395","137717","26"
"396","34031","26"
"397","146697","22"
"398","32064","33"
"399","41263","11"
"400","57644","17"
"401","113447","22"
"402","172822","24"
"403","160039","24"
"404","88396","24"
"406","134324","18"
"407","64957","18"
"408","180877","26"
"409","166432","20"
"410","66299","26"
"411","105611","33"
"412","145643","22"
"413","147315","32"
"415","20467","28"
"416","75005","32"
"417","175440","18"
"418","55741","22"
"419","18956","26"
"420","63458","33"
"421","148106","22"
"422","89484","29"
"423","1190","8"
"424","1948","20"
"425","129132","11"
"426","55980","26"
"427","17128","22"
"428","93151","8"
"429","176106","33"
"430","78703","24"
"432","39680","20"
"433","132889","22"
"434","1131","8"
"435","152080","29"
"436","147828","22"
"438","11259","20"
"439","76081","22"
"440","11120","22"
"441","20401","22"
"442","169412","18"
"443","27985","22"
"444","79236","32"
"445","161873","24"
"446","159499","18"
"447","17071","29"
"448","105850","28"
"449","54244","22"
"450","175284","20"
"451","80809","29"
"452","162893","22"
"453","131679","22"
"454","156394","33"
"455","178990","33"
"456","52054","24"
"457","62424","20"
"458","143210","22"
"459","104120","8"
"460","92102","22"
"461","138434","17"
"462","50","22"
"463","171346","22"
"464","165170","32"
"465","741","18"
"466","153455","29"
"467","145486","8"
"468","37731","29"
"469","105414","33"
"470","41582","33"
"471","179869","22"
"472","17524","20"
"473","1282","29"
"474","58157","20"
"475","79777","22"
"476","179342","22"
"477","154139","22"
"478","147117","8"
"479","117022","24"
"480","126223","29"
"481","62165","17"
"482","109560","17"
"483","131906","22"
"484","39675","33"
"485","94302","18"
"486","118306","17"
"487","84300","22"
"488","104476","22"
"489","109717","22"
"490","56461","28"
"491","45660","20"
"492","10849","22"
"493","112757","33"
"495","59912","11"
"496","56005","28"
"497","67501","22"
"498","120319","22"
"499","148607","28"
