,Index,membership_la,user_id,user_language,top_topic,topic_prob
136,55159,26,5457012,English,1,0.590273524
137,55201,32,321747430,English,0,0.831238013
138,55447,29,2370860959,English,1,0.75538213
139,55741,22,35403867,English,1,0.495985579
140,55980,26,40418556,English,0,0.919859366
141,56005,28,2438840592,English,10,0.485017728
142,56378,24,364561794,English,5,0.266766083
143,56461,28,160638390,English,1,0.672504759
144,57133,8,21906136,English,1,0.406165275
145,57164,22,1199207352,English,4,0.651486153
146,57644,17,548975462,English,0,0.921673996
147,57758,22,383567110,English,0,0.757064154
148,58142,20,2580021367,English,1,0.565647608
149,58157,20,7.55641E+17,English,0,0.976829268
150,58914,33,2686093544,English,0,0.363775973
151,59072,24,1011269994,English,0,0.997014942
152,59209,11,25246436,English,3,0.271519314
153,59296,18,1242591145,English,2,0.487914362
154,59880,18,4513651,English,1,0.889780449
155,59912,11,87943038,English,0,0.920833332
156,60388,22,7779722,English,1,0.572228306
157,60611,32,7.86605E+17,English,3,0.579464463
158,60648,24,4825770972,English,0,0.849611491
159,61200,32,47180283,English,0,0.865824907
160,61305,32,1321897357,English,0,0.904999998
161,62117,22,4520654915,English,0,0.593648615
162,62165,17,34047928,English,2,0.373988311
163,62347,24,2291236584,English,0,0.513693726
164,62424,20,2174509735,English,0,0.755636754
165,62584,29,1552652803,English,3,0.536045262
166,63458,33,1265148786,English,2,0.444110113
167,63536,18,925511426,English,0,0.977906976
168,64944,22,1217164681,English,1,0.59086485
169,64957,18,30729713,English,0,0.974324324
170,65396,18,516051584,English,4,0.317254635
171,65658,18,117260565,English,1,0.497929333
172,65766,17,3122675082,English,0,0.904999998
173,66299,26,3045626468,English,0,0.996520146
174,66596,11,50209740,English,0,0.81195922
175,67275,20,2307700807,English,0,0.989204545
176,67501,22,7.71722E+17,English,0,0.841666664
177,68210,29,28494036,English,0,0.487288239
178,68284,17,2921136464,English,0,0.975
179,68532,28,335162093,English,1,0.572936824
180,69057,22,28910785,English,2,0.563134653
181,69171,26,62622211,English,1,0.660722149
182,69925,32,2174142338,English,1,0.395168524
183,70376,29,32148722,English,0,0.881249997
184,70396,22,971473622,English,4,0.762499995
185,70556,26,7.90647E+17,English,0,0.750212247
186,70748,11,1410590137,English,2,0.809999994
187,70844,20,381908177,English,0,0.972857142
188,71106,32,246139154,English,0,0.915206745
189,71205,8,3308029429,English,0,0.977527809
190,72687,33,950682158,English,2,0.732803157
191,73842,32,2951584336,English,0,0.970614799
192,75005,32,3058193671,English,1,0.719298798
193,75759,22,110815442,English,1,0.829173271
194,75791,11,241644986,English,0,0.99719764
195,75805,22,2187935852,English,0,0.516423768
196,76081,22,432592175,English,0,0.683333327
197,76196,24,5242711,English,0,0.605260303
198,76290,33,3311813490,English,0,0.968333333
199,76317,22,852218184,English,0,0.693809829
200,76474,8,797221494,English,0,0.794840724
201,77341,29,2745745585,English,1,0.510149514
202,78381,20,3142810242,English,2,0.320314235
203,78703,24,3030479386,English,1,0.680118336
204,79236,32,7.61715E+17,English,2,0.47749467
205,79308,33,16984740,English,0,0.981
206,79480,26,2345376145,English,0,0.982727272
207,79777,22,15596278,English,3,0.390769394
208,80608,32,170061358,English,3,0.370305281
209,80638,20,434730371,English,0,0.726650213
210,80809,29,2916296300,English,0,0.591293383
211,80860,33,800790864,English,5,0.410223794
212,81016,22,467871151,English,1,0.557237907
213,81140,32,2407535078,English,1,0.926423843
214,82027,22,214635167,English,3,0.468705057
215,82515,33,15580235,English,0,0.379454094
216,83395,32,111120497,English,3,0.46480111
217,83477,22,1429378328,English,0,0.842321856
218,83480,22,7.15749E+17,English,5,0.338383209
219,83576,33,1621675146,English,0,0.52578983
220,83887,32,60839646,English,0,0.966152574
221,84050,20,1639810386,English,0,0.977906976
222,84051,24,2213198520,English,0,0.533467391
223,84300,22,125878109,English,0,0.643726793
224,86003,29,43476074,English,1,0.775300337
225,86651,32,1211958079,English,1,0.655452001
226,86984,22,3045341112,English,2,0.446751519
227,87280,22,3072334164,English,1,0.736095927
228,88040,22,1090976810,English,0,0.773640009
229,88224,24,37168521,English,4,0.750742856
230,88260,29,58958428,English,1,0.963461538
231,88396,24,105456060,English,0,0.796004269
232,88451,32,193790024,English,1,0.91016148
233,89374,32,474300449,English,0,0.787860212
234,89484,29,19110632,English,0,0.961458636
235,92102,22,829061425,English,0,0.913636361
236,92290,32,92183852,English,2,0.767841038
237,92873,33,37841305,English,2,0.647661057
238,92916,32,1573039086,English,1,0.924177641
239,93151,8,4814018773,English,0,0.961999999
240,93322,22,301174836,English,6,0.44703288
241,93793,22,325967587,English,0,0.546437372
242,93877,22,2690846299,English,0,0.991121495
243,94302,18,2222085606,English,0,0.636792739
244,95450,22,27628945,English,0,0.993493151
245,96066,22,2594510156,English,0,0.723621102
246,96178,22,2753825358,English,3,0.43269009
247,96485,8,3165767450,English,0,0.864861552
248,97812,8,14045313,English,0,0.653115862
249,97837,18,518281938,English,0,0.743899752
250,98130,22,436914178,English,0,0.613882595
251,98153,22,411233880,English,0,0.05
252,99154,22,35344015,English,0,0.944117646
253,99966,8,3293458080,English,0,0.983898305
254,100173,18,2563700259,English,0,0.958695651
255,100630,22,1045816170,English,3,0.400322538
256,100900,24,636667314,English,1,0.391682536
257,101021,11,1038175400,English,0,0.596037771
258,101085,22,3256984159,English,0,0.978888889
259,101775,28,510861326,English,1,0.588617748
260,102803,22,12090282,English,0,0.974999999
261,102926,22,3087391474,English,1,0.542762908
262,103346,29,38214658,English,1,0.677532673
263,103545,8,2608559852,English,0,0.992460317
264,104120,8,232076904,English,1,0.512446049
265,104198,17,232312466,English,1,0.693249721
266,104476,22,601477348,English,0,0.667116813
267,104608,11,3021011601,English,3,0.524999999
268,104947,8,7.10565E+17,English,4,0.402090266
269,105032,20,3315517226,English,0,0.558499743
270,105163,32,1044133670,English,0,0.991517857
271,105414,33,2651703478,English,4,0.35972182
272,105426,26,215063255,English,1,0.506836611
273,105611,33,724307852,English,0,0.524112557
274,105850,28,2668308777,English,8,0.253666088
275,105858,26,423057829,English,0,0.378980655
276,107134,22,7.99125E+17,English,0,0.956818181
277,107710,11,91434524,English,0,0.598220139
278,108192,22,1939932092,English,0,0.864285712
279,108754,33,1644612498,English,1,0.420255642
280,109429,22,772514904,English,0,0.944117646
281,109560,17,68032826,English,3,0.854018338
282,109717,22,43743671,English,2,0.710814114
283,109914,11,112590897,English,0,0.949999999
284,110340,22,374802528,English,0,0.867117155
285,110420,24,3029645156,English,0,0.771499602
286,110628,32,1697973914,English,4,0.700066076
287,110828,17,3104243647,English,13,0.683333313
288,111326,20,842507294,English,0,0.947222221
289,112217,24,2360354276,English,0,0.944117646
290,112492,11,4871271823,English,0,0.944117646
291,112757,33,3872627472,English,0,0.854169821
