"","ID","membership_ch"
"311","197343","27"
"312","169852","25"
"313","50587","34"
"314","108194","25"
"315","121691","27"
"316","189061","31"
"317","203419","36"
"318","105954","31"
"319","165507","34"
"320","55378","23"
"321","95758","20"
"322","159587","19"
"323","72884","32"
"324","6298","34"
"325","109364","22"
"326","138721","26"
"327","158552","34"
"328","17129","29"
"329","119441","25"
"330","101691","32"
"331","49795","34"
"332","52061","23"
"333","159918","33"
"334","198022","33"
"335","37552","26"
"336","172022","33"
"337","23886","20"
"338","78929","27"
"339","59093","31"
"340","92966","29"
"341","102959","34"
"342","104432","34"
"343","93689","29"
"344","216026","21"
"345","94903","34"
"346","154675","20"
"347","194325","31"
"348","47547","34"
"349","147203","29"
"350","168938","35"
"351","12149","31"
"352","188639","27"
"353","195122","22"
"354","127851","34"
"355","145895","34"
"356","70862","27"
"357","112333","34"
"358","149254","36"
"359","202769","29"
"360","14574","34"
"361","113236","20"
"362","75475","34"
"363","201919","31"
"364","55277","23"
"365","157523","34"
"366","29549","34"
"367","164082","22"
"368","56767","31"
"369","143665","25"
"370","91354","34"
"371","40596","34"
"372","88490","24"
"373","81303","34"
"374","187703","33"
"375","203714","31"
"376","169974","25"
"377","77603","20"
"378","36210","25"
"379","117571","26"
"380","172588","29"
"381","30966","31"
"382","71979","31"
"383","208067","33"
"384","130910","34"
"385","105721","20"
"386","157046","27"
"387","26758","34"
"388","19298","22"
"389","118825","20"
"390","10777","31"
"391","100093","29"
"392","10733","33"
"393","136315","31"
"394","3665","28"
"395","105756","33"
"396","49748","34"
"397","183918","23"
"398","118846","34"
"399","15607","34"
"400","57254","36"
"401","126456","29"
"402","97692","34"
"403","52366","31"
"404","44866","34"
"405","13143","23"
"406","122538","33"
"407","174906","23"
"408","33447","34"
"409","155438","23"
"410","215809","32"
"411","88208","30"
"412","201824","22"
"413","134643","31"
"414","95004","26"
"415","85918","34"
"416","178845","34"
"417","61592","25"
"418","48444","27"
"419","54840","31"
"420","138210","34"
"421","89411","36"
"422","89724","34"
"423","192036","31"
"424","80288","34"
"425","189136","27"
"426","70881","20"
"427","203539","33"
"428","33855","33"
"429","180286","34"
"430","216752","20"
"431","128431","31"
"432","84658","22"
"433","137604","25"
"434","96760","36"
"435","26162","34"
"436","25509","33"
"437","215561","36"
"438","137111","27"
"439","139252","29"
"440","61230","34"
"441","212596","23"
"442","31704","34"
"443","114773","22"
"444","82875","34"
"445","22747","22"
"446","148269","31"
"447","104334","36"
"448","86999","34"
"449","1181","34"
"450","21647","25"
"451","79249","20"
"452","162901","9"
"453","21595","31"
"454","41978","34"
"455","61459","34"
"456","165231","20"
"457","201259","32"
"458","105732","20"
"459","189529","29"
"460","185761","31"
"461","81617","25"
"462","12341","35"
"463","46898","31"
"464","63036","34"
"465","111338","31"
"466","70586","32"
"467","97348","20"
"468","34244","34"
"469","3379","26"
"470","125217","33"
"471","212893","35"
"472","92946","34"
"473","110879","33"
"474","116100","36"
"475","101592","31"
"476","128240","25"
"477","110297","37"
"478","45948","34"
"479","206463","34"
"480","159872","25"
"481","164782","34"
"482","3664","34"
"483","205443","20"
"484","30194","33"
"485","81382","29"
"486","134735","34"
"487","54782","31"
"488","193025","23"
"489","135354","26"
"490","11693","34"
"491","174967","31"
"492","191207","26"
"493","29416","34"
"494","104570","22"
"495","40839","34"
"496","157913","22"
"497","182968","26"
"498","203745","20"
"499","139937","34"
"500","88459","26"
