"","Index","membership_ch","user_id","user_language","top_topic","topic_prob"
"118",55378,23,27964282,"English",1,0.424074947
"119",56450,34,2733795358,"English",1,0.712311263
"120",56712,35,575934521,"English",0,0.881249997
"121",56767,31,216533335,"English",0,0.944117646
"122",56997,22,417602138,"English",0,0.97840909
"123",57254,36,7.7181e+17,"English",1,0.431986902
"124",58196,29,593526684,"English",0,0.717311796
"125",58291,34,233740536,"English",2,0.663576417
"126",58684,22,317943734,"English",0,0.626112922
"127",59093,31,263763583,"English",0,0.881249997
"128",59419,34,224852335,"English",0,0.770125078
"129",59670,31,135513352,"English",0,0.881249998
"130",59811,25,1646818694,"English",1,0.649064132
"131",60550,23,1205020315,"English",0,0.904999998
"132",60615,34,181743519,"English",0,0.89444444
"133",60664,26,87833210,"English",0,0.841666664
"134",60696,34,53132753,"English",0,0.626335133
"135",60970,20,35643662,"English",0,0.841666665
"136",61230,34,2441668932,"English",0,0.878319897
"137",61459,34,569524391,"English",1,0.882047228
"138",61592,25,301832179,"English",0,0.984426229
"139",61770,31,18206737,"English",2,0.471560863
"140",62119,22,24603137,"English",0,0.991284403
"141",62858,36,49342671,"English",0,0.974999999
"142",63036,34,887163673,"English",3,0.324625013
"143",63298,36,47236152,"English",17,0.762499995
"144",65034,20,16078682,"English",0,0.841666659
"145",65572,6,1962588211,"English",0,0.05
"146",66669,34,291917202,"English",0,0.554161844
"147",68742,25,2959892869,"English",1,0.7009652
"148",69229,27,281314393,"English",0,0.686247919
"149",69867,9,1915869506,"English",12,0.525
"150",70052,34,741197221,"English",0,0.892789899
"151",70341,32,3305402088,"English",1,0.401615072
"152",70586,32,983435466,"English",0,0.583321784
"153",70862,27,2670637213,"English",0,0.497345521
"154",70881,20,3128285568,"English",0,0.805006845
"155",71039,34,36792946,"English",1,0.524999994
"156",71264,22,713277092,"English",0,0.864285713
"157",71314,22,3243630689,"English",1,0.617125095
"158",71504,31,88581079,"English",1,0.844558148
"159",71979,31,993672644,"English",0,0.762499989
"160",72655,32,2749942967,"English",2,0.758308182
"161",72716,33,428835273,"English",0,0.894444442
"162",72884,32,1592023590,"English",12,0.683333325
"163",75475,34,167283184,"English",4,0.809999996
"164",75861,29,345399538,"English",1,0.630030405
"165",75950,20,3012891075,"English",11,0.809999994
"166",77603,20,80020268,"English",0,0.832300586
"167",77918,34,398186674,"English",0,0.904999998
"168",78619,31,195544071,"English",0,0.710367154
"169",78929,27,7.28966e+17,"English",0,0.601194427
"170",79249,20,2392082120,"English",1,0.522814434
"171",80248,36,399469009,"English",16,0.762499996
"172",80288,34,2708236351,"English",1,0.809999998
"173",81303,34,443270519,"English",1,0.443012866
"174",81382,29,2329617859,"English",0,0.91701183
"175",81487,32,2177233386,"English",2,0.497070605
"176",81617,25,3096781512,"English",1,0.387695199
"177",82523,7,340336790,"English",0,0.05
"178",82535,25,349737793,"English",1,0.719286369
"179",82875,34,1132514491,"English",0,0.894444442
"180",83839,25,357161023,"English",1,0.683333329
"181",84658,22,2994201410,"English",9,0.809999997
"182",85531,29,369279036,"English",0,0.91363636
"183",85541,22,221864293,"English",0,0.56686466
"184",85918,34,349152556,"English",0,0.975641025
"185",86166,34,7.58663e+17,"English",0,0.741472129
"186",86313,29,1957691833,"English",0,0.841666664
"187",86999,34,730059907,"English",16,0.762499994
"188",88012,34,17199902,"English",0,0.881249997
"189",88208,30,792726752,"English",0,0.05
